157,0.104,1.89,77,18.2
158,0.105,1.89,77,18.0
159,0.104,1.89,76.9,18.2
160,0.104,1.89,76.9,18.2
161,0.105,1.88,76.8,17.9
162,0.104,1.89,76.8,18.2
163,0.107,1.89,76.8,17.7
164,0.105,1.89,76.7,18.0
165,0.105,1.88,76.6,17.9
166,0.104,1.89,76.5,18.2
167,0.104,1.88,76.4,18.1
168,0.105,1.88,76.4,17.9
169,0.105,1.88,76.3,17.9
170,0.104,1.88,76.3,18.1
171,0.104,1.88,76.2,18.1
172,0.105,1.88,76.2,17.9
173,0.105,1.88,76.1,17.9
174,0.105,1.88,76.1,17.9
175,0.105,1.89,76,18.0
176,0.104,1.89,76,18.2
177,0.105,1.88,75.9,17.9
178,0.105,1.89,75.8,18.0
179,0.105,1.87,75.8,17.8
180,0.105,1.88,75.8,17.9
181,0.104,1.88,75.7,18.1
182,0.105,1.88,75.6,17.9
183,0.104,1.88,75.6,18.1
184,0.105,1.89,75.5,18.0
185,0.103,1.87,75.4,18.2
186,0.105,1.88,75.4,17.9
187,0.105,1.88,75.3,17.9
188,0.108,1.89,75.2,17.5
189,0.105,1.88,75.2,17.9
190,0.105,1.88,75.1,17.9
191,0.107,1.89,75,17.7
192,0.105,1.88,75,17.9
193,0.105,1.88,75,17.9
194,0.105,1.88,74.9,17.9
195,0.105,1.89,74.8,18.0
196,0.106,1.88,74.8,17.7
197,0.105,1.88,74.7,17.9
198,0.108,1.89,74.7,17.5
199,0.105,1.88,74.6,17.9
200,0.105,1.89,74.6,18.0
201,0.106,1.88,74.5,17.7
202,0.105,1.88,74.4,17.9
203,0.105,1.88,74.3,17.9
204,0.104,1.88,74.2,18.1
205,0.103,1.87,74.2,18.2
206,0.105,1.88,74.1,17.9
207,0.106,1.88,74.1,17.7
208,0.105,1.87,74.1,17.8
209,0.106,1.88,74,17.7
210,0.105,1.88,73.9,17.9
211,0.106,1.88,73.9,17.7
212,0.104,1.87,73.9,18.0
213,0.108,1.88,73.8,17.4
214,0.105,1.88,73.7,17.9
215,0.106,1.89,73.7,17.8
216,0.105,1.88,73.6,17.9
217,0.105,1.88,73.5,17.9
218,0.106,1.87,73.5,17.6
219,0.107,1.88,73.4,17.6
220,0.109,1.89,73.4,17.3
221,0.106,1.87,73.3,17.6
222,0.106,1.88,73.2,17.7
223,0.106,1.88,73.2,17.7
224,0.106,1.88,73.2,17.7
225,0.105,1.88,73.1,17.9
226,0.105,1.88,73.1,17.9
