20,0.00265,2.24,77,845.283018867925,0.012987012987013,2.92700214439736
21,0.0053,2.24,77.2,422.641509433962,0.0129533678756477,2.62597214873337
22,0.00318,2.24,77,704.402515723271,0.012987012987013,2.84782089834973
23,0.00371,2.23,76.9,601.078167115903,0.0130039011703511,2.77893095343311
24,0.00371,2.24,76.7,603.77358490566,0.0130378096479791,2.78087410871912
25,0.00424,2.24,76.6,528.301886792453,0.0130548302872063,2.72288216174143
26,0.00424,2.23,76.6,525.943396226415,0.0130548302872063,2.72093900645543
27,0.00424,2.24,76.5,528.301886792453,0.0130718954248366,2.72288216174143
28,0.00477,2.23,76.4,467.505241090147,0.0130890052356021,2.66978648400805
29,0.00477,2.23,76.2,467.505241090147,0.0131233595800525,2.66978648400805
30,0.00477,2.23,75.8,467.505241090147,0.0131926121372032,2.66978648400805
31,0.0053,2.23,75.4,420.754716981132,0.013262599469496,2.62402899344737
32,0.00477,2.23,75,467.505241090147,0.0133333333333333,2.66978648400805
33,0.00424,2.23,74.6,525.943396226415,0.0134048257372654,2.72093900645543
34,0.00371,2.23,74.2,601.078167115903,0.0134770889487871,2.77893095343311
35,0.00477,2.23,73.9,467.505241090147,0.013531799729364,2.66978648400805
36,0.00477,2.23,73.5,467.505241090147,0.0136054421768707,2.66978648400805
37,0.00636,2.23,73.2,350.62893081761,0.0136612021857924,2.54484774739975
38,0.00689,2.23,72.9,323.657474600871,0.0137174211248285,2.51008564114054
39,0.00583,2.23,72.5,382.504288164666,0.0137931034482759,2.58263630828915
40,0.0053,2.23,72.3,420.754716981132,0.0138312586445367,2.62402899344737
41,0.0053,2.23,71.8,420.754716981132,0.0139275766016713,2.62402899344737
42,0.0053,2.23,71.4,420.754716981132,0.0140056022408964,2.62402899344737
43,0.0053,2.23,71,420.754716981132,0.0140845070422535,2.62402899344737
44,0.00477,2.23,70.5,467.505241090147,0.0141843971631206,2.66978648400805
45,0.00477,2.23,70.3,467.505241090147,0.0142247510668563,2.66978648400805
46,0.0053,2.24,69.9,422.641509433962,0.0143061516452074,2.62597214873337
47,0.00583,2.23,69.7,382.504288164666,0.0143472022955524,2.58263630828915
48,0.00583,2.23,69.4,382.504288164666,0.0144092219020173,2.58263630828915
49,0.00689,2.23,69,323.657474600871,0.0144927536231884,2.51008564114054
50,0.00583,2.23,68.6,382.504288164666,0.0145772594752187,2.58263630828915
51,0.0053,2.23,68.2,420.754716981132,0.0146627565982405,2.62402899344737
52,0.0053,2.23,67.9,420.754716981132,0.0147275405007364,2.62402899344737
53,0.0053,2.23,67.6,420.754716981132,0.014792899408284,2.62402899344737
